Epoch 0, lr 0.001
(61,15010) 0 step loss : 0.006110
(61,15010) epoch loss : 0.006110
Epoch 62, lr 0.001

(62,15010) 0 step loss : 0.006046
(62,15010) epoch loss : 0.006046
Epoch 63, lr 0.001

(63,15010) 0 step loss : 0.005891
(63,15010) epoch loss : 0.005891
Epoch 64, lr 0.001

(64,15010) 0 step loss : 0.005794
(64,15010) epoch loss : 0.005794
Epoch 65, lr 0.001

(65,15010) 0 step loss : 0.005759
(65,15010) epoch loss : 0.005759
Epoch 66, lr 0.001

(66,15010) 0 step loss : 0.005693
(66,15010) epoch loss : 0.005693
Epoch 67, lr 0.001

(67,15010) 0 step loss : 0.005594
(67,15010) epoch loss : 0.005594
Epoch 68, lr 0.001

(68,15010) 0 step loss : 0.005503
(68,15010) epoch loss : 0.005503
Epoch 69, lr 0.001

(69,15010) 0 step loss : 0.005389
(69,15010) epoch loss : 0.005389
Epoch 70, lr 0.001

(70,15010) 0 step loss : 0.005336
(70,15010) epoch loss : 0.005336
Epoch 71, lr 0.001

(71,15010) 0 step loss : 0.005246
(71,15010) epoch loss : 0.005246
Epoch 72, lr 0.001

(72,15010) 0 step loss : 0.005146
(72,15010) epoch loss : 0.005146
Epoch 73, lr 0.001

(73,15010) 0 step loss : 0.005128
(73,15010) epoch loss : 0.005128
Epoch 74, lr 0.001

(74,15010) 0 step loss : 0.005052
(74,15010) epoch loss : 0.005052
Epoch 75, lr 0.001

(75,15010) 0 step loss : 0.005003
(75,15010) epoch loss : 0.005003
Epoch 76, lr 0.001

(76,15010) 0 step loss : 0.004961
(76,15010) epoch loss : 0.004961
Epoch 77, lr 0.001

(77,15010) 0 step loss : 0.004847
(77,15010) epoch loss : 0.004847
Epoch 78, lr 0.001

(78,15010) 0 step loss : 0.004850
(78,15010) epoch loss : 0.004850
Epoch 79, lr 0.001

(79,15010) 0 step loss : 0.004916
(79,15010) epoch loss : 0.004916
Epoch 80, lr 0.001

(80,15010) 0 step loss : 0.004903
(80,15010) epoch loss : 0.004903
Epoch 81, lr 0.001

(81,15010) 0 step loss : 0.004779
(81,15010) epoch loss : 0.004779
Epoch 82, lr 0.001

(82,15010) 0 step loss : 0.004719
(82,15010) epoch loss : 0.004719
Epoch 83, lr 0.001

(83,15010) 0 step loss : 0.004676
(83,15010) epoch loss : 0.004676
Epoch 84, lr 0.001

(84,15010) 0 step loss : 0.004605
(84,15010) epoch loss : 0.004605
Epoch 85, lr 0.001

(85,15010) 0 step loss : 0.004641
(85,15010) epoch loss : 0.004641
Epoch 86, lr 0.001

(86,15010) 0 step loss : 0.004556
(86,15010) epoch loss : 0.004556
Epoch 87, lr 0.001

(87,15010) 0 step loss : 0.004455
(87,15010) epoch loss : 0.004455
Epoch 88, lr 0.001

(88,15010) 0 step loss : 0.004483
(88,15010) epoch loss : 0.004483
Epoch 89, lr 0.001

(89,15010) 0 step loss : 0.004365
(89,15010) epoch loss : 0.004365
Epoch 90, lr 0.001

(90,15010) 0 step loss : 0.004327
(90,15010) epoch loss : 0.004327
Epoch 91, lr 0.001

(91,15010) 0 step loss : 0.004298
(91,15010) epoch loss : 0.004298
Epoch 92, lr 0.001

(92,15010) 0 step loss : 0.004253
(92,15010) epoch loss : 0.004253
Epoch 93, lr 0.001

(93,15010) 0 step loss : 0.004239
(93,15010) epoch loss : 0.004239
Epoch 94, lr 0.001

(94,15010) 0 step loss : 0.004244
(94,15010) epoch loss : 0.004244
Epoch 95, lr 0.001

(95,15010) 0 step loss : 0.004329
(95,15010) epoch loss : 0.004329
Epoch 96, lr 0.001

(96,15010) 0 step loss : 0.004309
(96,15010) epoch loss : 0.004309
Epoch 97, lr 0.001

(97,15010) 0 step loss : 0.004290
(97,15010) epoch loss : 0.004290
Epoch 98, lr 0.001

(98,15010) 0 step loss : 0.004064
(98,15010) epoch loss : 0.004064
Epoch 99, lr 0.001

(99,15010) 0 step loss : 0.004100
(99,15010) epoch loss : 0.004100
Epoch 100, lr 0.001

(100,15010) 0 step loss : 0.004182
(100,15010) epoch loss : 0.004182
Epoch 101, lr 0.001

(101,15010) 0 step loss : 0.004063
(101,15010) epoch loss : 0.004063
Epoch 102, lr 0.001

(102,15010) 0 step loss : 0.004040
(102,15010) epoch loss : 0.004040
Epoch 103, lr 0.001

(103,15010) 0 step loss : 0.004107
(103,15010) epoch loss : 0.004107
Epoch 104, lr 0.001

(104,15010) 0 step loss : 0.003917
(104,15010) epoch loss : 0.003917
Epoch 105, lr 0.001

(105,15010) 0 step loss : 0.003997
(105,15010) epoch loss : 0.003997
Epoch 106, lr 0.001

(106,15010) 0 step loss : 0.003948
(106,15010) epoch loss : 0.003948
Epoch 107, lr 0.001

(107,15010) 0 step loss : 0.003885
(107,15010) epoch loss : 0.003885
Epoch 108, lr 0.001

(108,15010) 0 step loss : 0.003918
(108,15010) epoch loss : 0.003918
Epoch 109, lr 0.001

(109,15010) 0 step loss : 0.003842
(109,15010) epoch loss : 0.003842
