Epoch 0, lr 0.01

(0,650) 0 step loss : 0.001869
(0,650) epoch loss : 0.029904
Epoch 1, lr 0.01

(1,650) 0 step loss : 0.034589
(1,650) epoch loss : 0.553420
Epoch 2, lr 0.01

(2,650) 0 step loss : 0.003883
(2,650) epoch loss : 0.062124
Epoch 3, lr 0.01

(3,650) 0 step loss : 0.008138
(3,650) epoch loss : 0.130202
Epoch 4, lr 0.01

(4,650) 0 step loss : 0.018555
(4,650) epoch loss : 0.296872
Epoch 5, lr 0.01

(5,650) 0 step loss : 0.013366
(5,650) epoch loss : 0.213862
Epoch 6, lr 0.01

(6,650) 0 step loss : 0.004212
(6,650) epoch loss : 0.067388
Epoch 7, lr 0.01

(7,650) 0 step loss : 0.001557
(7,650) epoch loss : 0.024919
Epoch 8, lr 0.01

(8,650) 0 step loss : 0.005611
(8,650) epoch loss : 0.089771
Epoch 9, lr 0.01

(9,650) 0 step loss : 0.009248
(9,650) epoch loss : 0.147961
Epoch 10, lr 0.01

(10,650) 0 step loss : 0.008090
(10,650) epoch loss : 0.129443
Epoch 11, lr 0.01

(11,650) 0 step loss : 0.004147
(11,650) epoch loss : 0.066357
Epoch 12, lr 0.01

(12,650) 0 step loss : 0.001503
(12,650) epoch loss : 0.024047
Epoch 13, lr 0.01

(13,650) 0 step loss : 0.002067
(13,650) epoch loss : 0.033071
Epoch 14, lr 0.01

(14,650) 0 step loss : 0.004375
(14,650) epoch loss : 0.069997
Epoch 15, lr 0.01

(15,650) 0 step loss : 0.005501
(15,650) epoch loss : 0.088016
Epoch 16, lr 0.01

(16,650) 0 step loss : 0.004352
(16,650) epoch loss : 0.069630
Epoch 17, lr 0.01

(17,650) 0 step loss : 0.002338
(17,650) epoch loss : 0.037414
Epoch 18, lr 0.01

(18,650) 0 step loss : 0.001374
(18,650) epoch loss : 0.021988
Epoch 19, lr 0.01

(19,650) 0 step loss : 0.002037
(19,650) epoch loss : 0.032598
Epoch 20, lr 0.01

(20,650) 0 step loss : 0.003209
(20,650) epoch loss : 0.051348
Epoch 21, lr 0.01

(21,650) 0 step loss : 0.003470
(21,650) epoch loss : 0.055516
Epoch 22, lr 0.01

(22,650) 0 step loss : 0.002630
(22,650) epoch loss : 0.042078
Epoch 23, lr 0.01

(23,650) 0 step loss : 0.001622
(23,650) epoch loss : 0.025950
Epoch 24, lr 0.01

(24,650) 0 step loss : 0.001359
(24,650) epoch loss : 0.021742
Epoch 25, lr 0.01

(25,650) 0 step loss : 0.001867
(25,650) epoch loss : 0.029869
Epoch 26, lr 0.01

(26,650) 0 step loss : 0.002414
(26,650) epoch loss : 0.038618
Epoch 27, lr 0.01

(27,650) 0 step loss : 0.002367
(27,650) epoch loss : 0.037870
Epoch 28, lr 0.01

(28,650) 0 step loss : 0.001819
(28,650) epoch loss : 0.029100
Epoch 29, lr 0.01

