Epoch 0, lr 0.01
Epoch 64, lr 0.01

(64,420) 0 step loss : 0.001153
(64,420) epoch loss : 0.018447
Epoch 65, lr 0.01

(65,420) 0 step loss : 0.001139
(65,420) epoch loss : 0.018224
Epoch 66, lr 0.01

(66,420) 0 step loss : 0.001139
(66,420) epoch loss : 0.018219
Epoch 67, lr 0.01

(67,420) 0 step loss : 0.001143
(67,420) epoch loss : 0.018280
Epoch 68, lr 0.01

(68,420) 0 step loss : 0.001137
(68,420) epoch loss : 0.018198
Epoch 69, lr 0.01

(69,420) 0 step loss : 0.001126
(69,420) epoch loss : 0.018014
Epoch 70, lr 0.01

(70,420) 0 step loss : 0.001119
(70,420) epoch loss : 0.017912
Epoch 71, lr 0.01

(71,420) 0 step loss : 0.001120
(71,420) epoch loss : 0.017918
Epoch 72, lr 0.01

(72,420) 0 step loss : 0.001118
(72,420) epoch loss : 0.017892
Epoch 73, lr 0.01

(73,420) 0 step loss : 0.001111
(73,420) epoch loss : 0.017769
Epoch 74, lr 0.01

(74,420) 0 step loss : 0.001103
(74,420) epoch loss : 0.017644
Epoch 75, lr 0.01

(75,420) 0 step loss : 0.001100
(75,420) epoch loss : 0.017598
Epoch 76, lr 0.01

(76,420) 0 step loss : 0.001098
(76,420) epoch loss : 0.017575
Epoch 77, lr 0.01

(77,420) 0 step loss : 0.001094
(77,420) epoch loss : 0.017497
Epoch 78, lr 0.01

(78,420) 0 step loss : 0.001087
(78,420) epoch loss : 0.017389
Epoch 79, lr 0.01

(79,420) 0 step loss : 0.001082
(79,420) epoch loss : 0.017313
Epoch 80, lr 0.01

(80,420) 0 step loss : 0.001079
(80,420) epoch loss : 0.017267
Epoch 81, lr 0.01

(81,420) 0 step loss : 0.001075
(81,420) epoch loss : 0.017205
Epoch 82, lr 0.01

(82,420) 0 step loss : 0.001070
(82,420) epoch loss : 0.017116
Epoch 83, lr 0.01

(83,420) 0 step loss : 0.001065
(83,420) epoch loss : 0.017035
Epoch 84, lr 0.01

(84,420) 0 step loss : 0.001061
(84,420) epoch loss : 0.016978
Epoch 85, lr 0.01

(85,420) 0 step loss : 0.001057
(85,420) epoch loss : 0.016920
Epoch 86, lr 0.01

(86,420) 0 step loss : 0.001053
(86,420) epoch loss : 0.016842
Epoch 87, lr 0.01

(87,420) 0 step loss : 0.001048
(87,420) epoch loss : 0.016764
Epoch 88, lr 0.01

(88,420) 0 step loss : 0.001044
(88,420) epoch loss : 0.016697
Epoch 89, lr 0.01

(89,420) 0 step loss : 0.001040
(89,420) epoch loss : 0.016633
Epoch 90, lr 0.01

(90,420) 0 step loss : 0.001035
(90,420) epoch loss : 0.016553
Epoch 91, lr 0.01

(91,420) 0 step loss : 0.001029
(91,420) epoch loss : 0.016466
Epoch 92, lr 0.01

(92,420) 0 step loss : 0.001025
(92,420) epoch loss : 0.016394
Epoch 93, lr 0.01

(93,420) 0 step loss : 0.001020
(93,420) epoch loss : 0.016319
Epoch 94, lr 0.01

(94,420) 0 step loss : 0.001015
(94,420) epoch loss : 0.016236
Epoch 95, lr 0.01

(95,420) 0 step loss : 0.001009
(95,420) epoch loss : 0.016144
Epoch 96, lr 0.01

(96,420) 0 step loss : 0.001003
(96,420) epoch loss : 0.016053
Epoch 97, lr 0.01

(97,420) 0 step loss : 0.000998
(97,420) epoch loss : 0.015968
Epoch 98, lr 0.01

(98,420) 0 step loss : 0.000993
(98,420) epoch loss : 0.015886
Epoch 99, lr 0.01

(99,420) 0 step loss : 0.000989
(99,420) epoch loss : 0.015825
Epoch 100, lr 0.01

(100,420) 0 step loss : 0.000987
(100,420) epoch loss : 0.015789
Epoch 101, lr 0.01

(101,420) 0 step loss : 0.000981
(101,420) epoch loss : 0.015692
Epoch 102, lr 0.01

(102,420) 0 step loss : 0.000977
(102,420) epoch loss : 0.015633
Epoch 103, lr 0.01

(103,420) 0 step loss : 0.000975
(103,420) epoch loss : 0.015601
Epoch 104, lr 0.01

(104,420) 0 step loss : 0.000975
(104,420) epoch loss : 0.015595
Epoch 105, lr 0.01

(105,420) 0 step loss : 0.000970
(105,420) epoch loss : 0.015528
Epoch 106, lr 0.01

(106,420) 0 step loss : 0.000968
(106,420) epoch loss : 0.015482
Epoch 107, lr 0.01

(107,420) 0 step loss : 0.000984
(107,420) epoch loss : 0.015746
Epoch 108, lr 0.01

(108,420) 0 step loss : 0.000957
(108,420) epoch loss : 0.015305
Epoch 109, lr 0.01

(109,420) 0 step loss : 0.000963
(109,420) epoch loss : 0.015403
Epoch 110, lr 0.01

(110,420) 0 step loss : 0.000950
(110,420) epoch loss : 0.015200
Epoch 111, lr 0.01

(111,420) 0 step loss : 0.000944
(111,420) epoch loss : 0.015099
Epoch 112, lr 0.01

(112,420) 0 step loss : 0.000935
(112,420) epoch loss : 0.014958
Epoch 113, lr 0.01

(113,420) 0 step loss : 0.000929
(113,420) epoch loss : 0.014867
Epoch 114, lr 0.01

(114,420) 0 step loss : 0.000928
(114,420) epoch loss : 0.014841
Epoch 115, lr 0.01

(115,420) 0 step loss : 0.000930
(115,420) epoch loss : 0.014885
Epoch 116, lr 0.01

