Epoch 0, lr 0.001
(61,15010) 0 step loss : 0.080379
(61,15010) epoch loss : 0.080379
Epoch 62, lr 0.001

(62,15010) 0 step loss : 0.079159
(62,15010) epoch loss : 0.079159
Epoch 63, lr 0.001

(63,15010) 0 step loss : 0.077847
(63,15010) epoch loss : 0.077847
Epoch 64, lr 0.001

(64,15010) 0 step loss : 0.077450
(64,15010) epoch loss : 0.077450
Epoch 65, lr 0.001

(65,15010) 0 step loss : 0.077266
(65,15010) epoch loss : 0.077266
Epoch 66, lr 0.001

(66,15010) 0 step loss : 0.074727
(66,15010) epoch loss : 0.074727
Epoch 67, lr 0.001

(67,15010) 0 step loss : 0.074848
(67,15010) epoch loss : 0.074848
Epoch 68, lr 0.001

(68,15010) 0 step loss : 0.075099
(68,15010) epoch loss : 0.075099
Epoch 69, lr 0.001

(69,15010) 0 step loss : 0.074029
(69,15010) epoch loss : 0.074029
Epoch 70, lr 0.001

(70,15010) 0 step loss : 0.072716
(70,15010) epoch loss : 0.072716
Epoch 71, lr 0.001

(71,15010) 0 step loss : 0.071636
(71,15010) epoch loss : 0.071636
Epoch 72, lr 0.001

(72,15010) 0 step loss : 0.071027
(72,15010) epoch loss : 0.071027
Epoch 73, lr 0.001

(73,15010) 0 step loss : 0.068556
(73,15010) epoch loss : 0.068556
Epoch 74, lr 0.001

(74,15010) 0 step loss : 0.067082
(74,15010) epoch loss : 0.067082
Epoch 75, lr 0.001

(75,15010) 0 step loss : 0.066204
(75,15010) epoch loss : 0.066204
Epoch 76, lr 0.001

(76,15010) 0 step loss : 0.065411
(76,15010) epoch loss : 0.065411
Epoch 77, lr 0.001

(77,15010) 0 step loss : 0.064297
(77,15010) epoch loss : 0.064297
Epoch 78, lr 0.001

(78,15010) 0 step loss : 0.062452
(78,15010) epoch loss : 0.062452
Epoch 79, lr 0.001

(79,15010) 0 step loss : 0.061969
(79,15010) epoch loss : 0.061969
Epoch 80, lr 0.001

(80,15010) 0 step loss : 0.060376
(80,15010) epoch loss : 0.060376
Epoch 81, lr 0.001

(81,15010) 0 step loss : 0.059970
(81,15010) epoch loss : 0.059970
Epoch 82, lr 0.001

(82,15010) 0 step loss : 0.058814
(82,15010) epoch loss : 0.058814
Epoch 83, lr 0.001

(83,15010) 0 step loss : 0.058019
(83,15010) epoch loss : 0.058019
Epoch 84, lr 0.001

