Epoch 650, lr 0.001

(650,850) 0 step loss : 0.001686
(650,850) epoch loss : 0.026980
Epoch 651, lr 0.0001

(651,850) 0 step loss : 0.001446
(651,850) epoch loss : 0.023136
Epoch 652, lr 0.0001

(652,850) 0 step loss : 0.001412
(652,850) epoch loss : 0.022593
Epoch 653, lr 0.0001

(653,850) 0 step loss : 0.001373
(653,850) epoch loss : 0.021975
Epoch 654, lr 0.0001

(654,850) 0 step loss : 0.001337
(654,850) epoch loss : 0.021384
Epoch 655, lr 0.0001

(655,850) 0 step loss : 0.001303
(655,850) epoch loss : 0.020850
Epoch 656, lr 0.0001

(656,850) 0 step loss : 0.001273
(656,850) epoch loss : 0.020372
Epoch 657, lr 0.0001

(657,850) 0 step loss : 0.001247
(657,850) epoch loss : 0.019960
Epoch 658, lr 0.0001

(658,850) 0 step loss : 0.001225
(658,850) epoch loss : 0.019602
Epoch 659, lr 0.0001

(659,850) 0 step loss : 0.001205
(659,850) epoch loss : 0.019283
Epoch 660, lr 0.0001

(660,850) 0 step loss : 0.001187
(660,850) epoch loss : 0.018999
Epoch 661, lr 0.0001

(661,850) 0 step loss : 0.001172
(661,850) epoch loss : 0.018747
Epoch 662, lr 0.0001

(662,850) 0 step loss : 0.001158
(662,850) epoch loss : 0.018525
Epoch 663, lr 0.0001

(663,850) 0 step loss : 0.001145
(663,850) epoch loss : 0.018313
Epoch 664, lr 0.0001

(664,850) 0 step loss : 0.001132
(664,850) epoch loss : 0.018106
Epoch 665, lr 0.0001

(665,850) 0 step loss : 0.001119
(665,850) epoch loss : 0.017908
Epoch 666, lr 0.0001

(666,850) 0 step loss : 0.001107
(666,850) epoch loss : 0.017718
Epoch 667, lr 0.0001

(667,850) 0 step loss : 0.001096
(667,850) epoch loss : 0.017529
Epoch 668, lr 0.0001

(668,850) 0 step loss : 0.001084
(668,850) epoch loss : 0.017341
Epoch 669, lr 0.0001

(669,850) 0 step loss : 0.001072
(669,850) epoch loss : 0.017152
Epoch 670, lr 0.0001

(670,850) 0 step loss : 0.001060
(670,850) epoch loss : 0.016968
Epoch 671, lr 0.0001

(671,850) 0 step loss : 0.001050
(671,850) epoch loss : 0.016792
Epoch 672, lr 0.0001

(672,850) 0 step loss : 0.001039
(672,850) epoch loss : 0.016626
Epoch 673, lr 0.0001

(673,850) 0 step loss : 0.001029
(673,850) epoch loss : 0.016469
Epoch 674, lr 0.0001

(674,850) 0 step loss : 0.001020
(674,850) epoch loss : 0.016318
Epoch 675, lr 0.0001

(675,850) 0 step loss : 0.001011
(675,850) epoch loss : 0.016175
Epoch 676, lr 0.0001

(676,850) 0 step loss : 0.001002
(676,850) epoch loss : 0.016038
Epoch 677, lr 0.0001

(677,850) 0 step loss : 0.000994
(677,850) epoch loss : 0.015908
Epoch 678, lr 0.0001

(678,850) 0 step loss : 0.000987
(678,850) epoch loss : 0.015787
Epoch 679, lr 0.0001

(679,850) 0 step loss : 0.000979
(679,850) epoch loss : 0.015672
Epoch 680, lr 0.0001

(680,850) 0 step loss : 0.000972
(680,850) epoch loss : 0.015558
Epoch 681, lr 0.0001

(681,850) 0 step loss : 0.000965
(681,850) epoch loss : 0.015446
Epoch 682, lr 0.0001

(682,850) 0 step loss : 0.000958
(682,850) epoch loss : 0.015334
Epoch 683, lr 0.0001

(683,850) 0 step loss : 0.000951
(683,850) epoch loss : 0.015223
Epoch 684, lr 0.0001

(684,850) 0 step loss : 0.000945
(684,850) epoch loss : 0.015113
Epoch 685, lr 0.0001

(685,850) 0 step loss : 0.000938
(685,850) epoch loss : 0.015002
Epoch 686, lr 0.0001

(686,850) 0 step loss : 0.000931
(686,850) epoch loss : 0.014894
Epoch 687, lr 0.0001

(687,850) 0 step loss : 0.000924
(687,850) epoch loss : 0.014790
Epoch 688, lr 0.0001

(688,850) 0 step loss : 0.000918
(688,850) epoch loss : 0.014689
Epoch 689, lr 0.0001

(689,850) 0 step loss : 0.000912
(689,850) epoch loss : 0.014591
Epoch 690, lr 0.0001

(690,850) 0 step loss : 0.000906
(690,850) epoch loss : 0.014498
Epoch 691, lr 0.0001

(691,850) 0 step loss : 0.000901
(691,850) epoch loss : 0.014410
Epoch 692, lr 0.0001

(692,850) 0 step loss : 0.000895
(692,850) epoch loss : 0.014323
Epoch 693, lr 0.0001

(693,850) 0 step loss : 0.000890
(693,850) epoch loss : 0.014237
Epoch 694, lr 0.0001

(694,850) 0 step loss : 0.000885
(694,850) epoch loss : 0.014155
Epoch 695, lr 0.0001

(695,850) 0 step loss : 0.000880
(695,850) epoch loss : 0.014073
Epoch 696, lr 0.0001

(696,850) 0 step loss : 0.000875
(696,850) epoch loss : 0.013993
Epoch 697, lr 0.0001

(697,850) 0 step loss : 0.000870
(697,850) epoch loss : 0.013914
Epoch 698, lr 0.0001

(698,850) 0 step loss : 0.000865
(698,850) epoch loss : 0.013838
Epoch 699, lr 0.0001

(699,850) 0 step loss : 0.000860
(699,850) epoch loss : 0.013763
Epoch 700, lr 0.0001

(700,850) 0 step loss : 0.000856
(700,850) epoch loss : 0.013689
Epoch 701, lr 0.0001

(701,850) 0 step loss : 0.000851
(701,850) epoch loss : 0.013617
Epoch 702, lr 0.0001

(702,850) 0 step loss : 0.000847
(702,850) epoch loss : 0.013545
Epoch 703, lr 0.0001

(703,850) 0 step loss : 0.000842
(703,850) epoch loss : 0.013476
Epoch 704, lr 0.0001

(704,850) 0 step loss : 0.000838
(704,850) epoch loss : 0.013408
Epoch 705, lr 0.0001

(705,850) 0 step loss : 0.000834
(705,850) epoch loss : 0.013341
Epoch 706, lr 0.0001

(706,850) 0 step loss : 0.000830
(706,850) epoch loss : 0.013275
Epoch 707, lr 0.0001

(707,850) 0 step loss : 0.000826
(707,850) epoch loss : 0.013210
Epoch 708, lr 0.0001

(708,850) 0 step loss : 0.000822
(708,850) epoch loss : 0.013146
Epoch 709, lr 0.0001

(709,850) 0 step loss : 0.000818
(709,850) epoch loss : 0.013083
Epoch 710, lr 0.0001

(710,850) 0 step loss : 0.000814
(710,850) epoch loss : 0.013021
Epoch 711, lr 0.0001

(711,850) 0 step loss : 0.000810
(711,850) epoch loss : 0.012960
Epoch 712, lr 0.0001

(712,850) 0 step loss : 0.000806
(712,850) epoch loss : 0.012901
Epoch 713, lr 0.0001

(713,850) 0 step loss : 0.000803
(713,850) epoch loss : 0.012842
Epoch 714, lr 0.0001

(714,850) 0 step loss : 0.000799
(714,850) epoch loss : 0.012785
Epoch 715, lr 0.0001

(715,850) 0 step loss : 0.000795
(715,850) epoch loss : 0.012728
Epoch 716, lr 0.0001

(716,850) 0 step loss : 0.000792
(716,850) epoch loss : 0.012672
Epoch 717, lr 0.0001

(717,850) 0 step loss : 0.000789
(717,850) epoch loss : 0.012616
Epoch 718, lr 0.0001

(718,850) 0 step loss : 0.000785
(718,850) epoch loss : 0.012562
Epoch 719, lr 0.0001

(719,850) 0 step loss : 0.000782
(719,850) epoch loss : 0.012508
Epoch 720, lr 0.0001

(720,850) 0 step loss : 0.000778
(720,850) epoch loss : 0.012455
Epoch 721, lr 0.0001

(721,850) 0 step loss : 0.000775
(721,850) epoch loss : 0.012402
Epoch 722, lr 0.0001

(722,850) 0 step loss : 0.000772
(722,850) epoch loss : 0.012351
Epoch 723, lr 0.0001

(723,850) 0 step loss : 0.000769
(723,850) epoch loss : 0.012300
Epoch 724, lr 0.0001

(724,850) 0 step loss : 0.000766
(724,850) epoch loss : 0.012249
Epoch 725, lr 0.0001

(725,850) 0 step loss : 0.000762
