Epoch 0, lr 0.0005
(62,420) epoch loss : 0.015060
Epoch 63, lr 0.0005

(63,420) 0 step loss : 0.000938
(63,420) epoch loss : 0.015012
Epoch 64, lr 0.0005

(64,420) 0 step loss : 0.000939
(64,420) epoch loss : 0.015029
Epoch 65, lr 0.0005

(65,420) 0 step loss : 0.000931
(65,420) epoch loss : 0.014901
Epoch 66, lr 0.0005

(66,420) 0 step loss : 0.000932
(66,420) epoch loss : 0.014908
Epoch 67, lr 0.0005

(67,420) 0 step loss : 0.000934
(67,420) epoch loss : 0.014947
Epoch 68, lr 0.0005

(68,420) 0 step loss : 0.000922
(68,420) epoch loss : 0.014746
Epoch 69, lr 0.0005

(69,420) 0 step loss : 0.000916
(69,420) epoch loss : 0.014648
Epoch 70, lr 0.0005

(70,420) 0 step loss : 0.000909
(70,420) epoch loss : 0.014537
Epoch 71, lr 0.0005

(71,420) 0 step loss : 0.000907
(71,420) epoch loss : 0.014507
Epoch 72, lr 0.0005

(72,420) 0 step loss : 0.000908
(72,420) epoch loss : 0.014528
Epoch 73, lr 0.0005

(73,420) 0 step loss : 0.000897
(73,420) epoch loss : 0.014350
Epoch 74, lr 0.0005

(74,420) 0 step loss : 0.000899
(74,420) epoch loss : 0.014382
Epoch 75, lr 0.0005

(75,420) 0 step loss : 0.000901
(75,420) epoch loss : 0.014416
Epoch 76, lr 0.0005

(76,420) 0 step loss : 0.000907
(76,420) epoch loss : 0.014514
Epoch 77, lr 0.0005

(77,420) 0 step loss : 0.000923
(77,420) epoch loss : 0.014769
Epoch 78, lr 0.0005

(78,420) 0 step loss : 0.000923
(78,420) epoch loss : 0.014766
Epoch 79, lr 0.0005

(79,420) 0 step loss : 0.000898
(79,420) epoch loss : 0.014370
Epoch 80, lr 0.0005

(80,420) 0 step loss : 0.000875
(80,420) epoch loss : 0.014003
Epoch 81, lr 0.0005

(81,420) 0 step loss : 0.000866
(81,420) epoch loss : 0.013849
Epoch 82, lr 0.0005

(82,420) 0 step loss : 0.000862
(82,420) epoch loss : 0.013789
Epoch 83, lr 0.0005

(83,420) 0 step loss : 0.000859
(83,420) epoch loss : 0.013750
Epoch 84, lr 0.0005

(84,420) 0 step loss : 0.000856
(84,420) epoch loss : 0.013691
Epoch 85, lr 0.0005

(85,420) 0 step loss : 0.000858
(85,420) epoch loss : 0.013728
Epoch 86, lr 0.0005

(86,420) 0 step loss : 0.000849
(86,420) epoch loss : 0.013587
Epoch 87, lr 0.0005

(87,420) 0 step loss : 0.000846
(87,420) epoch loss : 0.013533
Epoch 88, lr 0.0005

(88,420) 0 step loss : 0.000841
(88,420) epoch loss : 0.013455
Epoch 89, lr 0.0005

(89,420) 0 step loss : 0.000848
(89,420) epoch loss : 0.013574
Epoch 90, lr 0.0005

(90,420) 0 step loss : 0.000834
(90,420) epoch loss : 0.013344
Epoch 91, lr 0.0005

(91,420) 0 step loss : 0.000854
(91,420) epoch loss : 0.013666
Epoch 92, lr 0.0005

(92,420) 0 step loss : 0.000843
(92,420) epoch loss : 0.013496
Epoch 93, lr 0.0005

(93,420) 0 step loss : 0.000835
(93,420) epoch loss : 0.013353
Epoch 94, lr 0.0005

(94,420) 0 step loss : 0.000826
(94,420) epoch loss : 0.013208
Epoch 95, lr 0.0005

(95,420) 0 step loss : 0.000826
(95,420) epoch loss : 0.013222
Epoch 96, lr 0.0005

(96,420) 0 step loss : 0.000823
(96,420) epoch loss : 0.013174
Epoch 97, lr 0.0005

(97,420) 0 step loss : 0.000809
(97,420) epoch loss : 0.012938
Epoch 98, lr 0.0005

(98,420) 0 step loss : 0.000801
(98,420) epoch loss : 0.012821
Epoch 99, lr 0.0005

(99,420) 0 step loss : 0.000801
(99,420) epoch loss : 0.012810
Epoch 100, lr 0.0005

(100,420) 0 step loss : 0.000804
(100,420) epoch loss : 0.012858
Epoch 101, lr 0.0005

(101,420) 0 step loss : 0.000814
(101,420) epoch loss : 0.013032
Epoch 102, lr 0.0005

(102,420) 0 step loss : 0.000826
(102,420) epoch loss : 0.013211
Epoch 103, lr 0.0005

(103,420) 0 step loss : 0.000822
(103,420) epoch loss : 0.013157
Epoch 104, lr 0.0005

(104,420) 0 step loss : 0.000792
(104,420) epoch loss : 0.012669
Epoch 105, lr 0.0005

(105,420) 0 step loss : 0.000779
(105,420) epoch loss : 0.012470
Epoch 106, lr 0.0005

(106,420) 0 step loss : 0.000784
(106,420) epoch loss : 0.012551
Epoch 107, lr 0.0005

(107,420) 0 step loss : 0.000794
(107,420) epoch loss : 0.012703
Epoch 108, lr 0.0005

(108,420) 0 step loss : 0.000791
(108,420) epoch loss : 0.012651
Epoch 109, lr 0.0005

(109,420) 0 step loss : 0.000790
(109,420) epoch loss : 0.012639
Epoch 110, lr 0.0005

(110,420) 0 step loss : 0.000762
(110,420) epoch loss : 0.012188
Epoch 111, lr 0.0005

(111,420) 0 step loss : 0.000758
(111,420) epoch loss : 0.012136
Epoch 112, lr 0.0005

(112,420) 0 step loss : 0.000771
(112,420) epoch loss : 0.012339
Epoch 113, lr 0.0005

(113,420) 0 step loss : 0.000774
(113,420) epoch loss : 0.012389
Epoch 114, lr 0.0005

(114,420) 0 step loss : 0.000764
(114,420) epoch loss : 0.012227
Epoch 115, lr 0.0005

(115,420) 0 step loss : 0.000756
(115,420) epoch loss : 0.012097
Epoch 116, lr 0.0005

(116,420) 0 step loss : 0.000754
(116,420) epoch loss : 0.012069
Epoch 117, lr 0.0005

(117,420) 0 step loss : 0.000757
(117,420) epoch loss : 0.012109
Epoch 118, lr 0.0005

(118,420) 0 step loss : 0.000777
(118,420) epoch loss : 0.012429
